Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-08-14 00:00:00,Costa Rica,Costa Rica,CR,83.05,153.13,79.63,79.63,grupoice.com
2023-08-15 00:00:00,Costa Rica,Costa Rica,CR,73.53,138.32,81.94,81.94,grupoice.com
2023-08-16 00:00:00,Costa Rica,Costa Rica,CR,66.91,126.56,83.58,83.58,grupoice.com
2023-08-17 00:00:00,Costa Rica,Costa Rica,CR,73.43,137.28,81.98,81.98,grupoice.com
2023-08-18 00:00:00,Costa Rica,Costa Rica,CR,86.94,158.60,78.64,78.64,grupoice.com
2023-08-19 00:00:00,Costa Rica,Costa Rica,CR,72.41,135.09,82.22,82.22,grupoice.com
2023-08-20 00:00:00,Costa Rica,Costa Rica,CR,67.47,127.46,83.46,83.46,grupoice.com
2023-08-21 00:00:00,Costa Rica,Costa Rica,CR,69.83,131.89,82.87,82.87,Electricity Maps Estimation; grupoice.com
2023-08-22 00:00:00,Costa Rica,Costa Rica,CR,67.93,129.40,83.34,83.34,grupoice.com
2023-08-23 00:00:00,Costa Rica,Costa Rica,CR,18.01,52.82,95.61,95.61,grupoice.com
2023-08-24 00:00:00,Costa Rica,Costa Rica,CR,8.38,37.88,98.00,98.00,grupoice.com
2023-08-25 00:00:00,Costa Rica,Costa Rica,CR,7.89,37.64,98.11,98.11,Electricity Maps Estimation; grupoice.com
2023-08-26 00:00:00,Costa Rica,Costa Rica,CR,1.91,28.60,99.55,99.55,grupoice.com
2023-08-27 00:00:00,Costa Rica,Costa Rica,CR,0.67,26.73,99.87,99.87,Electricity Maps Estimation; grupoice.com
2023-08-28 00:00:00,Costa Rica,Costa Rica,CR,14.83,48.47,96.37,96.37,grupoice.com
2023-08-29 00:00:00,Costa Rica,Costa Rica,CR,9.60,40.27,97.67,97.67,grupoice.com
2023-08-30 00:00:00,Costa Rica,Costa Rica,CR,12.45,43.96,96.97,96.97,grupoice.com
2023-08-31 00:00:00,Costa Rica,Costa Rica,CR,48.66,99.15,88.04,88.04,Electricity Maps Estimation; grupoice.com
2023-09-01 00:00:00,Costa Rica,Costa Rica,CR,59.44,116.02,85.43,85.43,grupoice.com
2023-09-02 00:00:00,Costa Rica,Costa Rica,CR,40.85,86.93,90.02,90.02,Electricity Maps Estimation; grupoice.com
2023-09-03 00:00:00,Costa Rica,Costa Rica,CR,37.99,82.88,90.77,90.77,grupoice.com
